Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2014;468.616
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2013;691.254
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2012;605.521
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2011;836.994
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2010;3.375.930
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2009;5.381.190
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2008;9.126.503
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2021;3.606.391
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2020;4.847.852
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2019;6.447.070
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2018;4.780.734
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2017;4.456.869
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2016;7.007.431
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2015;4.166.345
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2014;3.687.086
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2013;2.607.957
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2012;2.996.340
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2011;3.082.769
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2010;4.729.103
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2009;7.708.670
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C29-30. Fabricación de material de transporte;2008;20.085.982
